SensoDuino log file created:
DATE: 2014/9/28
TIME:  0:13:39
----------------------------
RotVec, 98, 0.38559136,-0.07229999,-0.11704862, 3
AccLin, 99, -0.3023712,0.1434018,0.03861969, 3
Gravity, 100, 0.40865022,7.0681515,6.7901797, 3
GPS1, 101, 40.73982663452625, -73.55704578571022, 4.5, 10.0
GPS2, 101, 261.0, 0.0, 1414469622000, 10.0
Audio, 102, 239,,,99
Pres, 103, 1012.39996,,,3
Gyro, 104, -0.004263721, 0.004263188,-0.0010663297, 3
Accelerometer, 105, 0.3026706,7.068451,6.66504, 3
Magnetometer, 106, -5.899994,-18.199997,-40.899994, 0
Orient, 107, 15.29262,-46.409565,2.6539764, 0
RotVec, 108, 0.38867706,-0.06774772,-0.11569977, 3
AccLin, 109, -0.026644593,-0.036673736,-0.09086105, 3
Gravity, 110, 0.3293152,7.105125,6.755901, 3
Audio, 111, 222,,,99
Pres, 112, 1012.51996,,,3
Gyro, 113, -0.0021321268, -0.021317273,0.001065797, 3
Accelerometer, 114, 0.24638763,7.154522,6.786587, 3
Magnetometer, 115, -6.0,-18.09999,-40.0, 0
Orient, 116, 15.307714,-46.36754,2.690328, 0
RotVec, 117, 0.38831234,-0.06795611,-0.11575845, 3
AccLin, 118, -0.087118834,0.054337006,0.02574646, 3
Gravity, 119, 0.33350646,7.100185,6.760841, 3
Audio, 120, 1069,,,99
Pres, 121, 1012.39996,,,3
Gyro, 122, -0.019185679, -0.01279063,0.010658237, 3
Accelerometer, 123, 0.2255809,7.121441,7.084318, 3
Magnetometer, 124, -5.899994,-18.0,-40.699997, 0
Orient, 125, 15.243838,-46.421806,2.5306625, 0
RotVec, 126, 0.3888787,-0.06688345,-0.11561197, 3
AccLin, 127, -0.08846603,0.014819183,0.3291655, 3
Gravity, 128, 0.31404695,7.1066217,6.7551527, 3
Time, 129, 0,13,42, 3
Audio, 130, 249,,,99
Pres, 131, 1012.47,,,3
Gyro, 132, -0.019185679, -0.031975776,-0.005329518, 3
Accelerometer, 133, 0.23561005,6.974297,6.819818, 3
Magnetometer, 134, -5.899994,-17.800003,-40.699997, 0
Orient, 135, 15.278194,-46.25215,2.370492, 0
RotVec, 136, 0.38761163,-0.06586164,-0.11640045, 3
AccLin, 137, -0.05763016,-0.11226654,0.042810973, 3
Gravity, 138, 0.2932402,7.0865636,6.777007, 3
Audio, 139, 236,,,99
Gyro, 140, -0.02238307, -0.0031979238,0.002131594, 3
Accelerometer, 141, 0.26764342,7.1423974,6.7288074, 3
Magnetometer, 142, -5.699997,-17.800003,-41.300003, 0
Orient, 143, 15.336937,-46.281006,2.4004774, 0
RotVec, 144, 0.387788,-0.06626962,-0.11677393, 3
AccLin, 145, -0.029488677,0.052391052,-0.04445755, 3
Gravity, 146, 0.2971321,7.0900064,6.773265, 3
Pres, 147, 1012.47,,,3
Audio, 148, 211,,,99
Gyro, 149, -0.15668015, -0.006395315,0.3240183, 3
Accelerometer, 150, 0.13681549,7.235803,6.3738956, 3
Magnetometer, 151, -6.899994,-18.199997,-40.5, 0
Orient, 152, 15.363689,-46.557983,3.5186224, 0
